OBJECTID,LoggerID,Date,DateTime,Interval,Average DO,Avg Temp (C),Avg Temp (F),Coordinates,Avg_Ct,GlobalID,x,y
48,2006680,2022-07-09,7/9/2022 10:00:00 PM,4,9.054722,22.08583,71.7545,"41.883825, -70.509812",36,68bf6266-7157-4aa1-9276-c15b2adfd01c,-7849116.36776945,5143592.8470204
49,2006680,2022-07-10,7/10/2022 4:00:00 AM,1,9.008333,22.26472,72.0765,"41.883825, -70.509812",36,14aee882-4ff6-46f1-b00f-1e5280dd06c4,-7849116.36776945,5143592.8470204
50,2006680,2022-07-10,7/10/2022 10:00:00 AM,2,9.115,21.63889,70.95,"41.883825, -70.509812",36,b8a4e46b-8c63-4484-8ca2-3e9ef199cb58,-7849116.36776945,5143592.8470204
51,2006680,2022-07-10,7/10/2022 4:00:00 PM,3,9.141945,21.57944,70.843,"41.883825, -70.509812",36,bb5ec5fa-8b87-407a-a5ad-eff7cf40c3b6,-7849116.36776945,5143592.8470204
52,2006680,2022-07-10,7/10/2022 10:00:00 PM,4,9.089444,21.9725,71.5505,"41.883825, -70.509812",36,1df4fc25-f9b0-467a-a794-81206807d837,-7849116.36776945,5143592.8470204
53,2006680,2022-07-11,7/11/2022 4:00:00 AM,1,9.008056,22.19583,71.9525,"41.883825, -70.509812",36,d71417a8-4744-4371-8cd4-aa612d6e9a18,-7849116.36776945,5143592.8470204
54,2006680,2022-07-11,7/11/2022 10:00:00 AM,2,9.095834,21.60695,70.8925,"41.883825, -70.509812",36,33320fab-5cb6-42c5-80d0-f5ce146dae8e,-7849116.36776945,5143592.8470204
55,2006680,2022-07-11,7/11/2022 4:00:00 PM,3,9.073889,21.74083,71.1335,"41.883825, -70.509812",36,4005e591-6c56-4110-90d1-ce78efa92e42,-7849116.36776945,5143592.8470204
56,2006680,2022-07-11,7/11/2022 10:00:00 PM,4,8.972222,22.29528,72.1315,"41.883825, -70.509812",36,3fd2d512-6f7e-4c74-90b5-7037c42f6b5f,-7849116.36776945,5143592.8470204
57,2006680,2022-07-12,7/12/2022 4:00:00 AM,1,8.947778,22.21278,71.983,"41.883825, -70.509812",36,e07ca5b1-93ec-4426-9510-277170dfbd4a,-7849116.36776945,5143592.8470204
58,2006680,2022-07-12,7/12/2022 10:00:00 AM,2,9.044167,21.58361,70.85049,"41.883825, -70.509812",36,f1279bb9-630f-4717-b9f7-3dd21231227f,-7849116.36776945,5143592.8470204
59,2006680,2022-07-12,7/12/2022 4:00:00 PM,3,9.002222,21.815,71.267,"41.883825, -70.509812",36,bbfb55bd-69ef-481c-89c6-e69893152524,-7849116.36776945,5143592.8470204
60,2006680,2022-07-12,7/12/2022 10:00:00 PM,4,8.890833,22.41611,72.349,"41.883825, -70.509812",36,5f1a4cbf-4e0e-4a2a-b880-60eb7639b00d,-7849116.36776945,5143592.8470204
61,2006680,2022-07-13,7/13/2022 4:00:00 AM,1,8.913055,22.14472,71.8605,"41.883825, -70.509812",36,42774b63-a114-449a-b064-ac1498a2f17b,-7849116.36776945,5143592.8470204
